(-550,-300,18.61823844909668), (-550,-290,18.618240356445312), (-550,-280,18.618236541748047), (-550,-270,18.50998306274414), (-550,-260,18.318561553955078), (-550,-250,18.12039566040039), (-550,-240,17.922231674194336), (-550,-230,17.72406768798828), (-550,-220,17.62782096862793), (-550,-210,17.618236541748047), (-550,-200,17.61823844909668), (-550,-190,17.61823844909668), (-550,-180,17.614843368530273), (-550,-170,17.58420753479004), (-550,-160,17.530607223510742), (-550,-150,17.477008819580078), (-550,-140,17.42340660095215), (-550,-130,17.3792781829834), (-550,-120,17.52118682861328), (-550,-110,17.84048843383789), (-550,-100,18.159791946411133), (-550,-90,18.479089736938477), (-550,-80,18.79822540283203), (-550,-70,19.13949203491211), (-550,-60,19.52594757080078), (-550,-50,19.922279357910156), (-550,-40,20.3186092376709), (-550,-30,20.71493911743164), (-550,-20,20.987144470214844), (-550,-10,21.09232521057129), (-550,0,21.169353485107422), (-550,10,21.24637794494629), (-550,20,21.323406219482422), (-550,30,21.366315841674805), (-550,40,21.29403305053711), (-550,50,21.22174835205078), (-550,60,21.14946746826172), (-550,70,21.077180862426758), (-550,80,20.958179473876953), (-550,90,20.76455307006836), (-550,100,20.566387176513672), (-550,110,20.36821937561035), (-550,120,20.17005729675293), (-550,130,20.019445419311523), (-550,140,19.927061080932617), (-550,150,19.850032806396484), (-550,160,19.773006439208984), (-550,170,19.695980072021484), (-550,180,19.68666648864746), (-550,190,19.835569381713867), (-550,200,20.03390884399414), (-550,210,20.232242584228516), (-550,220,20.430583953857422), (-550,230,20.62890625), (-550,240,20.827072143554688), (-550,250,21.02523422241211), (-550,260,21.223398208618164), (-550,270,21.42156410217285), (-550,280,21.55960464477539), (-550,290,21.420392990112305), (-550,300,21.222232818603516)
(-540,-300,18.93975067138672), (-540,-290,18.93975257873535), (-540,-280,18.939754486083984), (-540,-270,18.831501007080078), (-540,-260,18.640077590942383), (-540,-250,18.441917419433594), (-540,-240,18.243749618530273), (-540,-230,18.045581817626953), (-540,-220,17.949337005615234), (-540,-210,17.93975257873535), (-540,-200,17.939756393432617), (-540,-190,17.93975067138672), (-540,-180,17.936359405517578), (-540,-170,17.864347457885742), (-540,-160,17.688995361328125), (-540,-150,17.513647079467773), (-540,-140,17.338294982910156), (-540,-130,17.172412872314453), (-540,-120,17.20755386352539), (-540,-110,17.59247589111328), (-540,-100,17.977399826049805), (-540,-90,18.36231803894043), (-540,-80,18.74694061279297), (-540,-70,19.13197898864746), (-540,-60,19.525949478149414), (-540,-50,19.922277450561523), (-540,-40,20.318607330322266), (-540,-30,20.714933395385742), (-540,-20,20.961498260498047), (-540,-10,21.00564956665039), (-540,0,21.017454147338867), (-540,10,21.033605575561523), (-540,20,21.04975128173828), (-540,30,21.057809829711914), (-540,40,21.046403884887695), (-540,50,21.034996032714844), (-540,60,21.023590087890625), (-540,70,21.012178421020508), (-540,80,20.954050064086914), (-540,90,20.76455307006836), (-540,100,20.566387176513672), (-540,110,20.368223190307617), (-540,120,20.17005729675293), (-540,130,20.033218383789062), (-540,140,19.99257469177246), (-540,150,19.981170654296875), (-540,160,19.969762802124023), (-540,170,19.95836067199707), (-540,180,19.99819564819336), (-540,190,20.15750503540039), (-540,200,20.35622787475586), (-540,210,20.554948806762695), (-540,220,20.753650665283203), (-540,230,20.952299118041992), (-540,240,21.150463104248047), (-540,250,21.3486270904541), (-540,260,21.54679298400879), (-540,270,21.74495506286621), (-540,280,21.882997512817383), (-540,290,21.743789672851562), (-540,300,21.545623779296875)
(-530,-300,19.0), (-530,-290,19.0), (-530,-280,19.0), (-530,-270,18.891746520996094), (-530,-260,18.70032501220703), (-530,-250,18.502159118652344), (-530,-240,18.303998947143555), (-530,-230,18.105831146240234), (-530,-220,18.009584426879883), (-530,-210,18.0), (-530,-200,18.0), (-530,-190,17.999996185302734), (-530,-180,17.996604919433594), (-530,-170,17.916841506958008), (-530,-160,17.718677520751953), (-530,-150,17.520509719848633), (-530,-140,17.322345733642578), (-530,-130,17.133649826049805), (-530,-120,17.14797019958496), (-530,-110,17.544300079345703), (-530,-100,17.940629959106445), (-530,-90,18.336959838867188), (-530,-80,18.733266830444336), (-530,-70,19.129364013671875), (-530,-60,19.525949478149414), (-530,-50,19.922277450561523), (-530,-40,20.318607330322266), (-530,-30,20.714937210083008), (-530,-20,20.96150016784668), (-530,-10,21.0), (-530,0,21.0), (-530,10,21.000001907348633), (-530,20,21.0), (-530,30,21.000001907348633), (-530,40,21.0), (-530,50,21.000001907348633), (-530,60,21.0), (-530,70,20.999998092651367), (-530,80,20.953277587890625), (-530,90,20.764554977416992), (-530,100,20.566387176513672), (-530,110,20.368223190307617), (-530,120,20.17005729675293), (-530,130,20.03321647644043), (-530,140,20.000001907348633), (-530,150,19.999998092651367), (-530,160,20.0), (-530,170,20.0), (-530,180,20.06961441040039), (-530,190,20.285907745361328), (-530,200,20.534446716308594), (-530,210,20.782995223999023), (-530,220,21.031536102294922), (-530,230,21.275671005249023), (-530,240,21.473857879638672), (-530,250,21.672021865844727), (-530,260,21.87018585205078), (-530,270,22.068349838256836), (-530,280,22.206390380859375), (-530,290,22.067182540893555), (-530,300,21.86882209777832)
(-520,-300,19.004289627075195), (-520,-290,19.005634307861328), (-520,-280,19.006980895996094), (-520,-270,18.89885711669922), (-520,-260,18.70743751525879), (-520,-250,18.509273529052734), (-520,-240,18.311107635498047), (-520,-230,18.11294174194336), (-520,-220,18.015859603881836), (-520,-210,18.004928588867188), (-520,-200,18.00358009338379), (-520,-190,18.00213623046875), (-520,-180,17.997222900390625), (-520,-170,17.918642044067383), (-520,-160,17.72182846069336), (-520,-150,17.525007247924805), (-520,-140,17.328187942504883), (-520,-130,17.140682220458984), (-520,-120,17.153657913208008), (-520,-110,17.548641204833984), (-520,-100,17.943622589111328), (-520,-90,18.338605880737305), (-520,-80,18.73358917236328), (-520,-70,19.12961769104004), (-520,-60,19.525949478149414), (-520,-50,19.922277450561523), (-520,-40,20.3186092376709), (-520,-30,20.71493911743164), (-520,-20,20.961502075195312), (-520,-10,21.0), (-520,0,21.000001907348633), (-520,10,20.999998092651367), (-520,20,21.0), (-520,30,21.0), (-520,40,21.0), (-520,50,21.000003814697266), (-520,60,21.0), (-520,70,21.0), (-520,80,20.954532623291016), (-520,90,20.767154693603516), (-520,100,20.570337295532227), (-520,110,20.373516082763672), (-520,120,20.176694869995117), (-520,130,20.040328979492188), (-520,140,20.007112503051758), (-520,150,20.007108688354492), (-520,160,20.007110595703125), (-520,170,20.007112503051758), (-520,180,20.088659286499023), (-520,190,20.35222816467285), (-520,200,20.66542625427246), (-520,210,20.978628158569336), (-520,220,21.291826248168945), (-520,230,21.59568977355957), (-520,240,21.7972469329834), (-520,250,21.995412826538086), (-520,260,22.193580627441406), (-520,270,22.391740798950195), (-520,280,22.52978515625), (-520,290,22.390579223632812), (-520,300,22.192270278930664)
(-510,-300,19.031774520874023), (-510,-290,19.043445587158203), (-510,-280,19.055118560791016), (-510,-270,18.949378967285156), (-510,-260,18.75803565979004), (-510,-250,18.55986785888672), (-510,-240,18.361703872680664), (-510,-230,18.163541793823242), (-510,-220,18.060504913330078), (-510,-210,18.039993286132812), (-510,-200,18.02906608581543), (-510,-190,18.01803970336914), (-510,-180,18.00354766845703), (-510,-170,17.922143936157227), (-510,-160,17.735654830932617), (-510,-150,17.549161911010742), (-510,-140,17.362672805786133), (-510,-130,17.18511199951172), (-510,-120,17.199716567993164), (-510,-110,17.584373474121094), (-510,-100,17.969030380249023), (-510,-90,18.353689193725586), (-510,-80,18.73834228515625), (-510,-70,19.130037307739258), (-510,-60,19.525949478149414), (-510,-50,19.922279357910156), (-510,-40,20.318607330322266), (-510,-30,20.714937210083008), (-510,-20,20.96150016784668), (-510,-10,21.000001907348633), (-510,0,20.999998092651367), (-510,10,20.999998092651367), (-510,20,21.000003814697266), (-510,30,21.0), (-510,40,21.000003814697266), (-510,50,20.999998092651367), (-510,60,21.0), (-510,70,21.0), (-510,80,20.957231521606445), (-510,90,20.779726028442383), (-510,100,20.593233108520508), (-510,110,20.406740188598633), (-510,120,20.220251083374023), (-510,130,20.089893341064453), (-510,140,20.057714462280273), (-510,150,20.057708740234375), (-510,160,20.057706832885742), (-510,170,20.057710647583008), (-510,180,20.158321380615234), (-510,190,20.473541259765625), (-510,200,20.83839225769043), (-510,210,21.203243255615234), (-510,220,21.56809425354004), (-510,230,21.91908836364746), (-510,240,22.12063980102539), (-510,250,22.318811416625977), (-510,260,22.51697540283203), (-510,270,22.71514129638672), (-510,280,22.85317611694336), (-510,290,22.713972091674805), (-510,300,22.515806198120117)
(-500,-300,19.134248733520508), (-500,-290,19.179697036743164), (-500,-280,19.225147247314453), (-500,-270,19.127286911010742), (-500,-260,18.936437606811523), (-500,-250,18.738271713256836), (-500,-240,18.54010581970215), (-500,-230,18.341943740844727), (-500,-220,18.219249725341797), (-500,-210,18.165023803710938), (-500,-200,18.119571685791016), (-500,-190,18.073490142822266), (-500,-180,18.02411651611328), (-500,-170,17.943798065185547), (-500,-160,17.795860290527344), (-500,-150,17.647918701171875), (-500,-140,17.499977111816406), (-500,-130,17.3570499420166), (-500,-120,17.347461700439453), (-500,-110,17.69834327697754), (-500,-100,18.04922103881836), (-500,-90,18.400096893310547), (-500,-80,18.750974655151367), (-500,-70,19.13117218017578), (-500,-60,19.52594757080078), (-500,-50,19.922279357910156), (-500,-40,20.3186092376709), (-500,-30,20.714937210083008), (-500,-20,20.961502075195312), (-500,-10,21.000001907348633), (-500,0,20.999998092651367), (-500,10,20.999998092651367), (-500,20,21.000001907348633), (-500,30,21.0), (-500,40,21.000003814697266), (-500,50,20.999998092651367), (-500,60,21.0), (-500,70,21.0), (-500,80,20.98249626159668), (-500,90,20.839900970458984), (-500,100,20.687191009521484), (-500,110,20.53447151184082), (-500,120,20.38176155090332), (-500,130,20.266517639160156), (-500,140,20.236112594604492), (-500,150,20.236114501953125), (-500,160,20.236112594604492), (-500,170,20.236112594604492), (-500,180,20.33827781677246), (-500,190,20.670307159423828), (-500,200,21.066638946533203), (-500,210,21.46297264099121), (-500,220,21.859302520751953), (-500,230,22.239635467529297), (-500,240,22.444034576416016), (-500,250,22.64220428466797), (-500,260,22.840370178222656), (-500,270,23.03853416442871), (-500,280,23.176572799682617), (-500,290,23.037364959716797), (-500,300,22.839000701904297)
(-490,-300,19.28982925415039), (-490,-290,19.401283264160156), (-490,-280,19.512737274169922), (-490,-270,19.4482479095459), (-490,-260,19.25983428955078), (-490,-250,19.06166648864746), (-490,-240,18.863500595092773), (-490,-230,18.66533660888672), (-490,-220,18.50535774230957), (-490,-210,18.389137268066406), (-490,-200,18.282455444335938), (-490,-190,18.175142288208008), (-490,-180,18.064537048339844), (-490,-170,17.964611053466797), (-490,-160,17.877901077270508), (-490,-150,17.791189193725586), (-490,-140,17.704477310180664), (-490,-130,17.623291015625), (-490,-120,17.661937713623047), (-490,-110,17.946809768676758), (-490,-100,18.231685638427734), (-490,-90,18.51656150817871), (-490,-80,18.801435470581055), (-490,-70,19.138320922851562), (-490,-60,19.525949478149414), (-490,-50,19.922277450561523), (-490,-40,20.318607330322266), (-490,-30,20.714937210083008), (-490,-20,20.96150016784668), (-490,-10,21.0), (-490,0,20.999998092651367), (-490,10,21.0), (-490,20,21.0), (-490,30,21.0), (-490,40,21.000001907348633), (-490,50,20.999998092651367), (-490,60,21.0), (-490,70,20.999998092651367), (-490,80,20.982498168945312), (-490,90,20.90016746520996), (-490,100,20.81345558166504), (-490,110,20.726749420166016), (-490,120,20.640037536621094), (-490,130,20.576305389404297), (-490,140,20.559507369995117), (-490,150,20.559507369995117), (-490,160,20.55950927734375), (-490,170,20.559507369995117), (-490,180,20.66167449951172), (-490,190,20.99370574951172), (-490,200,21.390031814575195), (-490,210,21.786365509033203), (-490,220,22.18269920349121), (-490,230,22.563026428222656), (-490,240,22.767425537109375), (-490,250,22.965595245361328), (-490,260,23.163761138916016), (-490,270,23.36192512512207), (-490,280,23.49996566772461), (-490,290,23.36075782775879), (-490,300,23.16238784790039)
(-480,-300,19.424654006958008), (-480,-290,19.582365036010742), (-480,-280,19.740074157714844), (-480,-270,19.691328048706055), (-480,-260,19.50412368774414), (-480,-250,19.30595588684082), (-480,-240,19.107791900634766), (-480,-230,18.909626007080078), (-480,-220,18.728654861450195), (-480,-210,18.567352294921875), (-480,-200,18.40964126586914), (-480,-190,18.25149917602539), (-480,-180,18.093875885009766), (-480,-170,17.987375259399414), (-480,-160,17.95022964477539), (-480,-150,17.9130802154541), (-480,-140,17.87592887878418), (-480,-130,17.841934204101562), (-480,-120,17.87994956970215), (-480,-110,18.115262985229492), (-480,-100,18.350576400756836), (-480,-90,18.58588981628418), (-480,-80,18.824220657348633), (-480,-70,19.141101837158203), (-480,-60,19.525949478149414), (-480,-50,19.922277450561523), (-480,-40,20.318607330322266), (-480,-30,20.714937210083008), (-480,-20,20.96150016784668), (-480,-10,21.000001907348633), (-480,0,21.0), (-480,10,21.000003814697266), (-480,20,20.999998092651367), (-480,30,21.0), (-480,40,20.999998092651367), (-480,50,21.0), (-480,60,20.999998092651367), (-480,70,21.0), (-480,80,21.000001907348633), (-480,90,20.96537208557129), (-480,100,20.928220748901367), (-480,110,20.89107322692871), (-480,120,20.853923797607422), (-480,130,20.816240310668945), (-480,140,20.803796768188477), (-480,150,20.803794860839844), (-480,160,20.80379867553711), (-480,170,20.803804397583008), (-480,180,20.905963897705078), (-480,190,21.237993240356445), (-480,200,21.634323120117188), (-480,210,22.030654907226562), (-480,220,22.426982879638672), (-480,230,22.80731964111328), (-480,240,23.01171875), (-480,250,23.20988655090332), (-480,260,23.408050537109375), (-480,270,23.60621452331543), (-480,280,23.744253158569336), (-480,290,23.605051040649414), (-480,300,23.40688705444336)
(-470,-300,19.507015228271484), (-470,-290,19.70517921447754), (-470,-280,19.903345108032227), (-470,-270,19.8850040435791), (-470,-260,19.70032501220703), (-470,-250,19.502161026000977), (-470,-240,19.303997039794922), (-470,-230,19.1058292388916), (-470,-220,18.90766716003418), (-470,-210,18.709501266479492), (-470,-200,18.511333465576172), (-470,-190,18.313169479370117), (-470,-180,18.118398666381836), (-470,-170,18.0), (-470,-160,18.0), (-470,-150,18.000003814697266), (-470,-140,17.999996185302734), (-470,-130,18.003156661987305), (-470,-120,18.073984146118164), (-470,-110,18.272151947021484), (-470,-100,18.47031593322754), (-470,-90,18.668481826782227), (-470,-80,18.86664390563965), (-470,-70,19.147981643676758), (-470,-60,19.525949478149414), (-470,-50,19.922279357910156), (-470,-40,20.318605422973633), (-470,-30,20.71493911743164), (-470,-20,20.961502075195312), (-470,-10,21.000001907348633), (-470,0,21.0), (-470,10,21.000003814697266), (-470,20,21.0), (-470,30,21.0), (-470,40,20.999998092651367), (-470,50,21.0), (-470,60,21.0), (-470,70,21.000001907348633), (-470,80,20.999998092651367), (-470,90,21.0), (-470,100,21.000001907348633), (-470,110,20.999998092651367), (-470,120,21.0), (-470,130,21.0), (-470,140,20.999998092651367), (-470,150,21.000001907348633), (-470,160,21.000001907348633), (-470,170,21.000001907348633), (-470,180,21.102169036865234), (-470,190,21.434200286865234), (-470,200,21.830528259277344), (-470,210,22.226856231689453), (-470,220,22.623186111450195), (-470,230,23.003524780273438), (-470,240,23.20792579650879), (-470,250,23.406091690063477), (-470,260,23.604251861572266), (-470,270,23.80242156982422), (-470,280,23.940460205078125), (-470,290,23.801252365112305), (-470,300,23.603086471557617)
(-460,-300,19.507015228271484), (-460,-290,19.70517921447754), (-460,-280,19.903345108032227), (-460,-270,19.88500213623047), (-460,-260,19.70032501220703), (-460,-250,19.502161026000977), (-460,-240,19.303997039794922), (-460,-230,19.105833053588867), (-460,-220,18.90766716003418), (-460,-210,18.709501266479492), (-460,-200,18.511335372924805), (-460,-190,18.313167572021484), (-460,-180,18.11840057373047), (-460,-170,18.0), (-460,-160,18.000003814697266), (-460,-150,17.999998092651367), (-460,-140,18.0), (-460,-130,18.00315284729004), (-460,-120,18.073984146118164), (-460,-110,18.272151947021484), (-460,-100,18.470314025878906), (-460,-90,18.668481826782227), (-460,-80,18.86664390563965), (-460,-70,19.147979736328125), (-460,-60,19.525949478149414), (-460,-50,19.922277450561523), (-460,-40,20.3186092376709), (-460,-30,20.71493911743164), (-460,-20,20.961502075195312), (-460,-10,21.000001907348633), (-460,0,21.0), (-460,10,21.000001907348633), (-460,20,21.0), (-460,30,20.999998092651367), (-460,40,20.999998092651367), (-460,50,21.0), (-460,60,20.999998092651367), (-460,70,21.0), (-460,80,21.0), (-460,90,21.0), (-460,100,21.000001907348633), (-460,110,21.000001907348633), (-460,120,21.0), (-460,130,21.000003814697266), (-460,140,21.000001907348633), (-460,150,20.999998092651367), (-460,160,20.999998092651367), (-460,170,21.0), (-460,180,21.10216522216797), (-460,190,21.4341983795166), (-460,200,21.830528259277344), (-460,210,22.22685432434082), (-460,220,22.623186111450195), (-460,230,23.003520965576172), (-460,240,23.207923889160156), (-460,250,23.40608787536621), (-460,260,23.6042537689209), (-460,270,23.802419662475586), (-460,280,23.940460205078125), (-460,290,23.801252365112305), (-460,300,23.603084564208984)
